,AAPl,MSFT,GOOG,AMZN,NVDA,TSLA,META,AVGO,COST,PEP,AMGN,TXN,AMD,TMUS,NFLX,CMCSA,AZN,CSCO,ASML,ADBE
117,61.72,148.34,56.72,97.01,62.3,33.67,160.98,212.76,284.94,113.84,204.88,105.36,46.22,78.65,357.32,34.64,40.89,38.6,260.21,310.0
118,61.38,146.92,55.12,94.29,61.41,35.95,156.21,217.55,280.86,112.5,198.76,99.16,44.63,79.17,342.39,33.57,40.38,37.67,262.07,305.91
119,64.61,156.11,58.09,97.77,64.31,35.21,163.34,243.17,292.3,120.26,188.25,107.76,47.5,84.63,362.99,36.74,42.36,40.58,275.9,322.67
120,61.94,149.7,55.54,95.01,63.18,34.29,156.79,230.69,284.33,120.46,185.93,100.5,46.58,81.72,357.12,34.57,42.47,38.82,252.62,305.83
121,63.7,160.23,57.34,98.2,66.4,33.48,165.95,240.11,291.12,125.48,202.34,102.02,47.86,83.12,370.96,35.49,44.53,40.32,268.03,318.39
122,63.57,157.71,58.14,97.49,65.9,34.93,166.8,237.1,285.13,120.1,193.14,99.93,45.48,83.9,375.5,34.38,44.66,39.31,261.64,318.24
123,60.23,152.11,55.28,95.39,60.77,32.1,159.6,223.63,286.78,118.12,198.49,96.89,43.66,85.13,364.08,32.42,43.78,38.33,249.01,301.21
124,61.23,155.26,56.04,95.94,63.87,30.3,158.19,237.06,291.48,123.86,198.27,102.02,44.49,84.41,370.08,34.37,43.76,39.8,247.28,303.96
125,60.35,153.83,54.89,95.33,60.98,32.0,154.18,234.26,288.65,124.59,208.48,99.98,42.59,81.98,361.76,33.95,43.96,39.06,244.61,293.61
126,65.62,165.27,59.35,99.88,67.1,34.42,165.55,252.44,305.12,131.16,202.73,108.96,47.52,86.09,379.96,36.23,44.31,41.43,271.13,319.13
127,64.86,163.49,59.33,100.58,64.76,36.36,168.83,253.27,303.63,130.48,197.81,106.26,47.56,86.51,372.28,36.94,43.1,40.64,272.59,308.93
128,66.52,165.13,60.51,102.15,66.74,36.59,174.28,261.1,305.97,132.61,208.88,110.17,48.79,86.85,371.12,37.68,43.85,41.74,278.58,317.18
129,67.0,165.14,60.57,102.14,65.74,38.2,175.19,254.3,300.01,133.63,205.41,107.69,48.38,85.9,370.72,38.0,44.66,41.2,276.81,318.7
130,68.31,165.51,60.88,108.44,67.46,43.4,174.79,259.92,299.62,130.89,211.58,107.67,50.94,86.17,396.72,37.19,47.36,41.22,274.1,320.65
131,71.76,173.7,63.46,114.17,70.99,47.33,178.17,267.63,314.14,138.4,208.78,110.95,54.93,89.62,413.55,38.52,48.68,42.78,288.93,340.77
132,71.11,171.88,63.12,115.38,70.21,48.66,176.97,257.44,310.27,135.03,219.19,107.98,54.99,88.54,426.75,37.16,48.03,41.52,282.49,332.55
133,71.67,177.04,63.17,120.41,73.68,49.68,176.25,258.29,321.56,135.64,218.21,111.39,56.95,90.27,439.17,37.83,49.13,41.5,292.4,342.7
134,70.7,178.6,64.16,118.75,73.08,50.26,179.24,265.88,317.92,137.55,218.27,113.55,56.6,90.99,422.96,38.08,50.03,42.48,295.65,344.11
135,69.23,175.06,63.33,119.68,71.76,49.76,178.24,258.28,312.08,134.55,226.8,111.53,56.97,89.94,437.49,37.21,50.44,42.54,291.58,344.88
136,67.09,167.82,60.82,116.41,67.38,45.78,170.8,247.65,301.33,130.94,221.8,106.84,52.92,87.22,433.83,35.71,50.07,40.55,281.09,328.99
137,69.03,173.52,63.16,118.17,71.54,48.81,182.28,259.97,309.42,132.62,230.9,111.98,55.92,90.16,421.42,35.73,50.36,41.76,294.97,336.77
138,68.76,171.42,63.82,119.97,71.0,47.04,185.13,258.93,305.4,130.26,234.97,110.46,55.9,90.34,426.7,36.09,50.39,41.62,289.4,335.37
139,70.74,174.55,63.97,120.51,72.4,48.34,190.07,264.81,310.55,134.36,230.75,113.93,56.18,90.8,424.99,37.16,51.18,42.52,291.84,344.1
140,70.79,174.05,63.79,118.8,74.27,53.25,187.5,268.45,308.78,134.46,229.29,115.78,56.49,90.91,421.38,38.21,51.48,43.06,290.9,348.5
141,69.65,169.81,61.68,115.7,72.84,51.27,182.91,264.73,304.95,136.32,232.49,114.24,55.51,87.94,403.83,38.08,50.97,42.49,291.42,333.45
142,71.93,177.43,67.07,118.64,74.61,53.37,194.19,276.02,307.09,133.36,236.28,119.4,53.66,89.31,411.89,39.0,50.72,43.34,303.71,349.17
143,73.45,179.21,67.43,123.7,73.07,52.13,204.71,271.62,303.0,132.29,242.43,116.07,52.39,87.8,419.85,37.63,52.28,42.38,288.43,353.64
144,72.27,174.57,66.03,114.3,70.69,46.75,202.27,259.7,301.92,130.14,237.67,109.71,49.88,86.2,415.27,36.98,51.86,40.92,279.06,343.84
145,73.29,178.84,66.34,115.8,72.82,50.75,205.26,262.26,304.49,130.92,235.69,110.5,52.56,88.96,428.15,36.22,52.35,41.35,283.18,349.11
146,74.39,180.76,67.56,115.89,73.44,51.21,207.07,264.87,307.92,131.67,239.22,111.54,52.19,88.97,424.68,36.05,53.47,41.46,288.35,356.13
147,75.16,182.54,67.36,117.56,74.45,52.17,208.47,264.18,308.89,130.78,230.98,112.42,52.16,86.59,434.26,35.14,54.04,41.15,291.9,362.52
148,75.94,183.6,68.63,118.38,76.22,52.0,211.26,267.75,305.0,131.55,230.91,113.65,51.95,95.29,436.53,35.58,52.74,41.37,299.59,366.78
149,77.53,184.68,69.42,118.98,78.13,54.63,212.35,275.03,305.94,134.23,236.36,115.0,53.19,98.52,435.55,36.53,53.29,42.99,304.4,367.51
